program_id,category,location,date_aired,speaker_name,speaker_party,speaker_state,speaker_office,determiner,det_cat,head_noun,noun_cat
182416-1,House Proceeding,"Washington, District of Columbia, United States",Thu Jun 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,NULL,NULL,democrats,NNPS
182416-1,House Proceeding,"Washington, District of Columbia, United States",Thu Jun 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,the,DT,democrat,NNP
182416-1,House Proceeding,"Washington, District of Columbia, United States",Thu Jun 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,the,DT,republicans,NNPS
182416-1,House Proceeding,"Washington, District of Columbia, United States",Thu Jun 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,the,DT,democrats,NNPS
182416-1,House Proceeding,"Washington, District of Columbia, United States",Thu Jun 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,NULL,NULL,democrat,NNP
182416-1,House Proceeding,"Washington, District of Columbia, United States",Thu Jun 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,this,DT,republican,JJ
182416-1,House Proceeding,"Washington, District of Columbia, United States",Thu Jun 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,NULL,NULL,democrats,NNPS
182416-1,House Proceeding,"Washington, District of Columbia, United States",Thu Jun 24 00:00:00 2004,James Nussle,R,Iowa,U.S. Representative,NULL,NULL,republicans,NNPS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republican,JJ
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republican,NNP
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,democrats,NNS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republicans,NNS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republicans,NNPS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republicans,NNS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,the,DT,republicans,NNPS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republicans,NNPS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,the,DT,republicans,NNPS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,the,DT,republicans,NNPS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republicans,NNPS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republican,JJ
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republicans,NNPS
303309-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec 20 00:00:00 2011,"Henry ""Hank"" C. Jr. Johnson",D,Georgia,U.S. Representative,NULL,NULL,republican,NNP
181559-1,House Proceeding,"Washington, District of Columbia, United States",Wed Apr 28 00:00:00 2004,James L. Oberstar,D,Minnesota,U.S. Representative,the,DT,republican,JJ
181559-1,House Proceeding,"Washington, District of Columbia, United States",Wed Apr 28 00:00:00 2004,James L. Oberstar,D,Minnesota,U.S. Representative,NULL,NULL,republicans,NNPS
181559-1,House Proceeding,"Washington, District of Columbia, United States",Wed Apr 28 00:00:00 2004,James L. Oberstar,D,Minnesota,U.S. Representative,NULL,NULL,democrats,NNPS
181559-1,House Proceeding,"Washington, District of Columbia, United States",Wed Apr 28 00:00:00 2004,James L. Oberstar,D,Minnesota,U.S. Representative,NULL,NULL,republicans,NNPS
181559-1,House Proceeding,"Washington, District of Columbia, United States",Wed Apr 28 00:00:00 2004,James L. Oberstar,D,Minnesota,U.S. Representative,a,DT,republican,JJ
181559-1,House Proceeding,"Washington, District of Columbia, United States",Wed Apr 28 00:00:00 2004,James L. Oberstar,D,Minnesota,U.S. Representative,NULL,NULL,republican,NNP
181559-1,House Proceeding,"Washington, District of Columbia, United States",Wed Apr 28 00:00:00 2004,James L. Oberstar,D,Minnesota,U.S. Representative,a,DT,republican,JJ
181036-1,House Proceeding,"Washington, District of Columbia, United States",Tue Mar 23 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,republican,NNP
181036-1,House Proceeding,"Washington, District of Columbia, United States",Tue Mar 23 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,republican,NNP
181036-1,House Proceeding,"Washington, District of Columbia, United States",Tue Mar 23 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,republican,JJ
181036-1,House Proceeding,"Washington, District of Columbia, United States",Tue Mar 23 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,the,DT,democrat,NNP
181036-1,House Proceeding,"Washington, District of Columbia, United States",Tue Mar 23 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,NULL,NULL,democrats,NNPS
181036-1,House Proceeding,"Washington, District of Columbia, United States",Tue Mar 23 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,NULL,NULL,republicans,NNPS
303030-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec  6 00:00:00 2011,"Gerald ""Gerry"" E. Connolly",D,Virginia,U.S. Representative,NULL,NULL,republicans,NNPS
303030-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec  6 00:00:00 2011,"Gerald ""Gerry"" E. Connolly",D,Virginia,U.S. Representative,NULL,NULL,republicans,NNPS
303030-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec  6 00:00:00 2011,"Gerald ""Gerry"" E. Connolly",D,Virginia,U.S. Representative,the,DT,republican,NNP
303030-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec  6 00:00:00 2011,"Gerald ""Gerry"" E. Connolly",D,Virginia,U.S. Representative,the,DT,republican,JJ
303030-1,House Proceeding,"Washington, District of Columbia, United States",Tue Dec  6 00:00:00 2011,"Gerald ""Gerry"" E. Connolly",D,Virginia,U.S. Representative,these,DT,republican,JJ
180997-1,House Proceeding,"Washington, District of Columbia, United States",Wed Mar 17 00:00:00 2004,David Dreier,R,California,U.S. Representative,NULL,NULL,republican,JJ
