program_id,category,location,date_aired,speaker_name,speaker_party,speaker_state,speaker_office,syntactic_category,determiner,data_point,full_sentence
180394-1,House Proceeding,"Washington, District of Columbia, United States",Tue Feb  3 00:00:00 2004,Thomas DeLay,R,Texas,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
179221-2,House Proceeding,"Washington, District of Columbia, United States",Fri Nov 21 00:00:00 2003,"W. ""Billy"" J. II Tauzin",R,Louisiana,U.S. Representative,DT,a,democrat,a_DT Democrat_NNP
179221-2,House Proceeding,"Washington, District of Columbia, United States",Fri Nov 21 00:00:00 2003,"W. ""Billy"" J. II Tauzin",R,Louisiana,U.S. Representative,DT,the,republican,the_DT Republican_JJ
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,the,republican,the_DT Republican_JJ
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,a,republican,a_DT Republican_JJ
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,the,republican,the_DT Republican_JJ
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,the,republican,the_DT Republican_NNP
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,the,republicans,the_DT Republicans_NNPS
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,the,republicans,the_DT Republicans_NNPS
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,the,republican,The_DT Republican_NNP
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,the,republican,the_DT Republican_NNP
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,the,republican,the_DT Republican_JJ
179458-2,House Proceeding,"Washington, District of Columbia, United States",Mon Dec  8 00:00:00 2003,David R. Obey,D,Wisconsin,U.S. Representative,DT,the,republicans,the_DT Republicans_NNPS
180087-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jan 21 00:00:00 2004,Dana Rohrabacher,R,California,U.S. Representative,DT,no,democrats,no_DT Democrats_NNPS
180087-1,House Proceeding,"Washington, District of Columbia, United States",Wed Jan 21 00:00:00 2004,Dana Rohrabacher,R,California,U.S. Representative,DT,the,republican,the_DT Republican_NNP
303080-1,House Proceeding,"Washington, District of Columbia, United States",Thu Dec  8 00:00:00 2011,Dan Webster,R,Florida,U.S. Representative,DT,the,democrats,the_DT Democrats_NNPS
303080-1,House Proceeding,"Washington, District of Columbia, United States",Thu Dec  8 00:00:00 2011,Dan Webster,R,Florida,U.S. Representative,DT,the,republican,the_DT Republican_NNP
303080-1,House Proceeding,"Washington, District of Columbia, United States",Thu Dec  8 00:00:00 2011,Dan Webster,R,Florida,U.S. Representative,DT,the,republican,the_DT Republican_JJ
303080-1,House Proceeding,"Washington, District of Columbia, United States",Thu Dec  8 00:00:00 2011,Dan Webster,R,Florida,U.S. Representative,DT,the,republican,the_DT Republican_JJ
303080-1,House Proceeding,"Washington, District of Columbia, United States",Thu Dec  8 00:00:00 2011,Dan Webster,R,Florida,U.S. Representative,DT,the,republican,the_DT Republican_JJ
303080-1,House Proceeding,"Washington, District of Columbia, United States",Thu Dec  8 00:00:00 2011,Dan Webster,R,Florida,U.S. Representative,DT,the,republicans,the_DT Republicans_NNPS
